title,,,,,Year,,,,,abstract,,,,,,,,,,,,,,,,,
Comparing Abstract and Realistic Agent-Led Instructions for Language Learning in Virtual Environments: A Study on Presence Effects,G. Gonçalves; M. Romão; B. Peixoto; L. Bessa; M. Melo,"University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal",IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,28-Apr-26,2026,21,,306,314,"This study investigates the impact of virtual agent realism in immersive Virtual Reality (iVR) on foreign-language vocabulary learning. Specifically, it compares the effectiveness of a realistic (human-like) pedagogical virtual agent versus an abstract (non-human-like) one in delivering instructional content. A between-subjects experiment was conducted with 17 participants, divided into two groups, were exposed to either the realistic or abstract agent in an iVR Search-and-Find vocabulary learning task. Learning outcomes were measured using pre- and post-tests (based on word matching translations for 10 German-Portuguese item pairs), while presence-related experiences were assessed via the Igroup Presence Questionnaire and Temple Presence Inventory. Both groups demonstrated significant vocabulary acquisition improvements. However, no significant differences were found between the realistic and abstract agent groups in either learning outcomes or presence scores. The findings suggest that the visual realism of virtual agents may not significantly influence language learning effectiveness or user presence in these iVR environments. These preliminary results imply that abstract agents could be as effective as realistic agents for this type of foreign-language instruction, potentially reducing development resources without compromising learning benefits.",1932-8540,,10.1109/RITA.2026.3675805,"European Regional Development Fund (ERDF) through the NORTE 2030 Regional Program under Portugal 2030, within the Scope of the Project ImmersiveSGS(grant numbers:21054 (NORTE2030-FEDER-02183900)); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11447281,Foreign language learning;virtual reality;virtual agents;presence;between-subject study,Vocabulary;Virtual environments;Cognitive load;Visualization;Hands;Three-dimensional displays;Systematic literature review;Immersive learning;Humanoid robots;Avatars,,,,48,CCBYNCND,19-Mar-26,2026,,IEEE,IEEE Journals
"Advancing Engineering Education Through Serious Games: A Systematic Literature Review of Technological Innovation, Challenges, and Future Directions",Y. M. Arif; A. F. Karami; S. A. Rohma; S. Criollo-C,"Department of Informatics Engineering, Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Department of Informatics Engineering, Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Department of Informatics Engineering, Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Carrera de Ingeniería en Ciberseguridad, Universidad de las Américas, Quito, Ecuador",IEEE Access,9-Mar-26,2026,14,,35225,35242,"The rapid evolution of engineering education has intensified the demand for instructional approaches that can effectively support experiential learning, complex problem solving, and student engagement beyond traditional lecture-based methods. In this context, serious games have emerged as a promising pedagogical paradigm, particularly when combined with emerging technologies such as artificial intelligence (AI) and immersive environments. This study presents a systematic literature review (SLR) of serious games in engineering education, synthesizing peer-reviewed research published between 2020 and 2025 and indexed in Scopus and IEEE Xplore. Following the PRISMA 2020 framework, 63 primary studies were rigorously selected and analyzed to identify dominant technological innovations, application domains, game genres, research methodologies, and implementation challenges. The findings indicate that web- and mobile-based serious games remain the most prevalent due to their accessibility and scalability, while immersive technologies especially Virtual Reality (VR) demonstrate strong potential for enhancing spatial understanding and experiential learning in complex engineering domains. However, the integration of AI-driven adaptivity remains limited, with only a small subset of studies employing machine learning or computer vision techniques for personalized learning support. Key challenges include high development and infrastructure costs, limited pedagogical alignment, inconsistent evaluation frameworks, and insufficient attention to long-term learning outcomes and soft skill development. This review contributes a comprehensive cross-disciplinary perspective on technological trends and research gaps, highlighting the need for pedagogically grounded, AI-enhanced, and scalable serious game frameworks to support sustainable innovation in engineering education.",2169-3536,,10.1109/ACCESS.2026.3669416,"Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Universidad de las Américas, Quito, Ecuador; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11417788,Serious games;engineering education;virtual reality;artificial intelligence;adaptive learning;game-based learning,Games;Engineering education;Systematic literature review;Artificial intelligence;Technological innovation;Systematics;Solid modeling;Scalability;Databases;Software engineering,,,,83,CCBY,2-Mar-26,2026,,IEEE,IEEE Journals
Design and Implementation of Metaverse for a Self-Learning Platform: a Case Study in KMUTNB Techno Park,P. Vanichchanunt; P. Kumprasert; P. Sasithong; I. Yamyuan; P. La-Aiddee; S. Noisri; S. Saengthongkam; S. Jearavongtakul; N. Wuttiananchai; S. Ali; S. Sinrungtham; V. Sittakul; S. Paripurana; L. Wuttisittikulkij,"Department of Electrical and Computer Engineering, Faculty of Engineering, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electronic Engineering Technology, College of Industrial Technology, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand; Department of Electronic Engineering Technology, College of Industrial Technology, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand; Department of Electrical and Computer Engineering, Faculty of Engineering, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand","2025 22nd International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)",8-Aug-25,2025,,,1,4,"This paper introduces the KMUTNB Techno Park Metaverse, an online learning platform jointly developed by the Technology Park of King Mongkut’s University of Technology North Bangkok and Chulalongkorn University. By combining immersive 3D environments with introductory computer programming and Science, Technology, Engineering and Mathematics (STEM) lessons, the developed platform provides an engaging space for students, professionals, and the general public to learn at their own pace. A digital twin-based simulation allows learners to experience realistic coding scenarios, reinforcing practical skills that are highly valued in today’s technology driven industries. Through this interactive virtual setting, participants can explore programming fundamentals, collaborate with peers, and receive structured guidance all without the limitations of physical classrooms. The KMUTNB Techno Park Metaverse highlights the promise of metaverse technology for broadening access to education, preparing learners for the evolving demands of the digital workforce.",2837-6471,979-8-3315-2223-0,10.1109/ECTI-CON64996.2025.11100970,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11100970,Digital Twin;Interactive Learning;Metaverse;Virtual Learning,Industries;Three-dimensional displays;Metaverse;Education;Information age;Digital twins;Telecommunications;Programming profession;Research and development;STEM,,1,,6,IEEE,8-Aug-25,20-23 May 2025,20-23 May 2025,IEEE,IEEE Conferences
Impact of Different UI on Foreign Language Learning Using iVR,B. Peixoto; G. Gonçalves; M. Bessa; L. C. Pereira Bessa; M. Melo,"Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; CITCEM - Transdisciplinary Research Center for Culture, Space and Memory (FLUP), Porto, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal",2024 International Conference on Graphics and Interaction (ICGI),20-Mar-25,2024,,,1,8,"This paper presents a study comparing different user interface modes (Controller-Based Selection, Object Interaction, and Voice Recognition) within immersive Virtual Reality (iVR) environments for foreign language learning. Given the rapid advancements and potential of iVR in education, there is a need for focused research on optimising user interfaces for effective learning experiences. This study aimed to identify optimal interfaces for integrating iVR applications as complementary educational tools while gauging student preferences. Participants engaged in interactive learning tasks across the three conditions, with assessments focused on System Usability, Presence, User Satisfaction, Cybersickness, Learning Outcomes, and Task Duration. Findings indicate high usability across all conditions, with a preference observed for Controller-Based Selection and Object Interaction. Object Interaction showed strong motivational appeal but required more time to complete tasks than Controller-Based. Therefore, for time-constrained educational settings, the Controller-Based Selection interface is practical due to its lower physical effort requirement. Despite recent advances, our study found Voice Recognition interaction to be the least preferred interaction method, indicating a need for further technological improvements to boost its acceptance and effectiveness in educational contexts.",,979-8-3315-3599-5,10.1109/ICGI64003.2024.10923812,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10923812,Immersive Virtual Reality;Education;Foreign Language Learners;User Interface;Virtual Environments,Cybersickness;Education;Virtual environments;Speech recognition;User interfaces;Usability,,,,33,IEEE,20-Mar-25,7-8 Nov. 2024,7-8 Nov. 2024,IEEE,IEEE Conferences
Learning a Foreign Language: Traditional Listening vs Interactive Immersive Virtual Reality,B. Peixoto; G. Gonçalves; M. Bessa; L. C. Pereira Bessa; M. Melo,"University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal",2024 International Conference on Graphics and Interaction (ICGI),20-Mar-25,2024,,,1,8,"Immersive Virtual Reality (iVR) is a promising educational tool for learning a second/foreign language. However, interactive iVR studies remain in their infancy, with more research required to validate what and how it can be implemented. This study focuses on the English listening dimension and evaluates the impact of a realistic interactive iVR compared to traditional listening exercises. The results were favourable and indicated that interactive iVR positively impacts the users' knowledge retention compared to a traditional listening approach. Likewise, the users revealed a preference for using iVR for learning when compared to traditional listening exercises, as well as higher user satisfaction with the iVR experiment.",,979-8-3315-3599-5,10.1109/ICGI64003.2024.10923758,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10923758,Immersive Virtual Reality;Education;Foreign Language Education;EFL;ESL;Virtual Environments,Education;Virtual environments,,,,64,IEEE,20-Mar-25,7-8 Nov. 2024,7-8 Nov. 2024,IEEE,IEEE Conferences
Improving Higher Education With the Use of Mobile Augmented Reality (MAR): A Case Study,S. Criollo-C; A. Guerrero-Arias; J. Enrique Cerezo Uzcátegui; Y. Miftachul Arif; A. Fortuna; F. Prasetya; S. Luján-Mora,"Carrera de Ingeniería en Ciberseguridad, Facultad de Ingeniería y Ciencias Aplicadas, Universidad de Las Américas, Quito, Ecuador; Jezreel International Christian Academy, Quito, Ecuador; Carrera de Ingeniería en Ciberseguridad, Facultad de Ingeniería y Ciencias Aplicadas, Universidad de Las Américas, Quito, Ecuador; Department of Informatics Engineering, Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Department of Mechanical Engineering, Universitas Negeri Padang, Padang, Indonesia; Faculty of Engineering, Universitas Negeri Padang, Air Tawar, Padang, Padang, West Sumatra, Indonesia; Departmyent of Software and Computing Systems, University of Alicante, Alicante, Spain",IEEE Access,1-Oct-24,2024,12,,139003,139017,"Currently, students face difficulties in understanding and assembling desktop computer hardware. Traditional teaching, which relies on theoretical classes and manuals, does not provide sufficient interactive or practical experience, hindering the comprehension and retention of knowledge. Understanding hardware is fundamental for computer science and related fields students, as it is the basis for building and maintaining computer systems. The lack of practical knowledge in this area can result in inadequate training, limiting students’ abilities to apply theoretical concepts in real-world situations, which can affect their academic performance and job market readiness. There have been initiatives that included the use of printed manuals, video tutorials, and software simulations to teach hardware. However, these methods failed to engage students sufficiently or provide a practical and realistic learning experience. These methods can become boring and disconnected from the practical experience necessary for properly assembling computer hardware. The proposed solution is the use of an augmented reality (AR) mobile application to create an interactive and practical learning experience. The application called Build_PC was designed, and it allows students to visualize and manipulate hardware components in a virtual environment superimposed on the real world, allowing practical learning of computer assembly and operation. The main results of the research, which used volunteer students associated with control and experimental groups, show that the use of Build_PC significantly improved the understanding and retention of knowledge about computer hardware. Students who used the application demonstrated a greater ability to understand the operation of hardware components compared to those who used traditional methods. In addition, students reported greater motivation and satisfaction with the learning process. Implementing a AR-powered application in hardware education has several important implications. Firstly, it provides an effective tool to enhance understanding and knowledge retention, which can lead to better academic and professional preparation for students. Furthermore, it can serve as a model for integrating emerging technologies in other educational areas, enhancing practical teaching and interactive learning. It also highlights the need to invest in innovative educational technologies to keep up with job market demands and student expectations.",2169-3536,,10.1109/ACCESS.2024.3465833,Universidad de Las Américas; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10685406,Augmented reality;mobile augmented reality;active learning;MAR application;mobile learning;authentic learning,Education;Hardware;Augmented reality;Visualization;Three-dimensional displays;Solid modeling;Electronic learning;Mobile applications,,12,,63,CCBYNCND,23-Sep-24,2024,,IEEE,IEEE Journals
Interactive Augmented Reality System for Learning Phonetics Using Artificial Intelligence,R. M. Tolba; T. Elarif; Z. Taha; R. Hammady,"Computer Science Department, Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt; Computer Science Department, Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt; Computer Science Department, Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt; School of Computer Science and Electronic Engineering, University of Essex, Colchester, U.K.",IEEE Access,6-Jun-24,2024,12,,78219,78231,"The increasing adoption of language learning apps that utilize Augmented Reality (AR) and Artificial Intelligence (AI) for speech recognition has sparked interest in the potential benefits for phonetics education. However, currently available AR apps only focus on teaching letter names and vocabulary, lacking the potential for a more immersive learning experience. To address this limitation, this paper introduces an interactive AR system that integrates AI speech recognition with AR to provide an engaging and interactive learning experience. To showcase the capabilities of the proposed system, we have created a prototype for the Arabic Phonetic Atlas textbook. This prototype enhances reading the /s/ sound page in the Atlas by incorporating a 3D animated model of the speech organs onto the existing 2D image. The dynamic animation of the 3D model reflects the sound description provided in the Atlas. The system also offers real-time user pronunciation feedback through a customized AI phoneme recognition system. A comprehensive user study was conducted to evaluate the usability and learning impact of the proposed system, involving 83 adult participants aged between 18-40. The assessment approach involved the use of both direct and indirect observations, as well as various surveys to gather both numerical and qualitative information. The findings indicate not only a greater level of understanding compared to conventional methods but also an improved capability to master specific phonemes quickly and effortlessly. In addition, they are showing great potential for the proposed system to be incorporated into the conventional classroom setting as an instructional aid.",2169-3536,,10.1109/ACCESS.2024.3406494,"School of Computer Science and Electronic Engineering, University of Essex, through the Open Access Fund; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10540119,Interactive augmented reality;learning phonetics;language learning;Arabic phonetics,Phonetics;Artificial intelligence;Three-dimensional displays;Solid modeling;Recording;Mars;Animation;Augmented reality;Natural language processing,,16,,30,CCBYNCND,28-May-24,2024,,IEEE,IEEE Journals
Teaching EFL With Immersive Virtual Reality Technologies: A Comparison With the Conventional Listening Method,B. Peixoto; L. C. P. Bessa; G. Gonçalves; M. Bessa; M. Melo,"Department of Engineering, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; Polytechnic Institute of Porto, Porto, Portugal; Department of Engineering, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; Department of Engineering, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal",IEEE Access,7-Mar-23,2023,11,,21498,21507,"This paper investigates the impact of different immersive Virtual Reality (iVR) technological approaches in teaching and learning English as a Foreign Language (EFL). Specifically, this paper explores the passive iVR and interactive iVR in a real authentic learning context as didactic possibilities compared to the conventional method of listening, consisting of audio-only listening exercises. The study was conducted using university students of B1 level EFL classes. The dependent variables considered in the study were Knowledge Retention, Presence, User Satisfaction, Cybersickness, and Preferred Technology. Results indicated that users showed significant satisfaction and preference for using this technology for learning, revealing enjoyment and motivation which are vital factors when learning a foreign language. However, no significant differences were found between learning via traditional listening exercises or the virtual system. Correlation tests were conducted between the questionnaire subscales to understand better which elements can influence learning. The study concludes that using iVR-based learning tools to learn a foreign language as an alternative to audio listening can only produce a broader positive impact and greater motivation. The results also suggest that iVR can be a valuable tool in the education field for knowledge transfer and motivation when learning foreign languages.",2169-3536,,10.1109/ACCESS.2023.3249578,"National Funds through the Portuguese Funding Agency, Fundação para a Ciência e a Tecnologia (FCT)(grant numbers:LA/P/0063/2020); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10054011,Immersive virtual reality;education;foreign language education;virtual environments,Virtual reality;Games;Costs;Avatars;Knowledge transfer;Headphones;Cybersickness;Education;Natural languages,,28,,52,CCBY,27-Feb-23,2023,,IEEE,IEEE Journals
Game-based learning using a 3D virtual world in computer engineering education,M. Xenos; V. Maratou; I. Ntokas; C. Mettouris; G. A. Papadopoulos,"Department of Computer Engineering and Informatics, University of Patras, Patras, Greece; School of Sciences & Technology, Hellenic Open University, Patras, Greece; School of Sciences & Technology, Hellenic Open University, Patras, Greece; Department of Computer Science, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, University of Cyprus, Nicosia, Cyprus",2017 IEEE Global Engineering Education Conference (EDUCON),8-Jun-17,2017,,,1078,1083,"This paper presents an on-line three-dimensional virtual world learning environment that has been developed aiming to contribute to the improvement of Information Security issues awareness. This learning environment simulates a number of information security threat scenarios, presented to users as games, selected by users as the most interesting ones. The environment enables students to experience the risks, be educated about them and combine skills and knowledge to overcome them, without exposing themselves and their data to real risk. This paper provides insight and focuses on the learning process and the learning outcomes of using this three-dimensional virtual world learning environment into a formal university education process for computer engineering students.",2165-9567,978-1-5090-5467-1,10.1109/EDUCON.2017.7942982,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7942982,game-based learning;virtual worlds;immersive learning,Games;Information security;Tools;Three-dimensional displays;Education;Social network services;Avatars,,10,,14,IEEE,8-Jun-17,25-28 April 2017,25-28 April 2017,IEEE,IEEE Conferences
